,duration,followers,start_time,title,viewers,views,end_time
394,1.6,24,2018-01-09 23:57:00,Cleaned out my closet Neighbours From HellTalk Shows & Podcasts,2296,0,2018-01-10 01:33:00
395,3.9,93,2018-01-06 00:01:00,Fighting against bad Internet IRLMetro: Last LightRide! Carnival Tycoon,2472,8672,2018-01-06 03:55:00
396,2.2,23,2018-01-03 00:00:00,Torture Cards LINCHLost Castle,2563,5934,2018-01-03 02:12:00
397,2.9,103,2018-01-01 03:58:00,The Kill The Meme Stream - New Years Eve Party WWE 2K18,4820,6557,2018-01-01 06:52:00
398,6.4,121,2017-12-29 00:01:00,Back in the Tunnels Metro 2033,2494,8517,2017-12-29 06:25:00
399,0.8,35,2017-12-24 02:36:00,"The Decorate the Tree, Merry Christmas Stream IRL",3489,2503,2017-12-24 03:24:00
400,4.7,50,2017-12-23 00:33:00,Metro Electro Metro 2033,2290,8392,2017-12-23 05:15:00
401,1.4,47,2017-12-22 00:07:00,Short Get Over It Stream Getting Over ItIRL,2832,3592,2017-12-22 01:31:00
402,4.4,52,2017-12-19 23:59:00,Fire Pro - Just Relaxin Fire Pro Wrestling World,2682,6876,2017-12-20 04:23:00
403,3.6,54,2017-12-16 00:57:00,Chris Redfield VR PlayStation VR WorldsResident Evil 7 biohazard,2338,5633,2017-12-16 04:33:00
404,4.5,29,2017-12-12 23:47:00,Pets and Animals Catagory Cute Pets,2615,8549,2017-12-13 04:17:00
405,4.1,55,2017-12-11 18:10:00,"Let's have a little fun, huh? Deadly Premonition: The Director's CutIRL",2450,7809,2017-12-11 22:16:00
406,4.3,199,2017-12-11 00:15:00,Give it a rest Getting Over ItMarc Ecko's Getting Up: Contents Under PressurePutt-Putt Saves the Zoo,3957,12631,2017-12-11 04:33:00
407,5.7,96,2017-12-06 02:02:00,"Switch, a Fiend, and Me 1, 2, SwitchOne-Two-ThreeOvercooked!Puyo Puyo TetrisSnipperclips: Cut It Out, Together!Troll and IUnknownVaccine",3139,9246,2017-12-06 07:44:00
408,1.7,35,2017-12-02 02:13:00,Painting with your friend Creative,3006,5364,2017-12-02 03:55:00
409,4.1,101,2017-12-01 00:26:00,Local Co-op Friend Sesh CupheadGames + DemosObscure: The Aftermath,3327,7709,2017-12-01 04:32:00
410,2.7,33,2017-11-29 23:54:00,Ghostbuster Boy Heart of Darkness,2363,4007,2017-11-30 02:36:00
411,4.0,201,2017-11-26 02:21:00,Intruder Later. Chilling with The Zoombinis for a bit IntruderZoombinis: Mountain Rescue,3278,8981,2017-11-26 06:21:00
412,3.6,57,2017-11-25 00:07:00,Zoombiniville IRLLogical Journey of the Zoombinis,2703,7085,2017-11-25 03:43:00
413,1.6,13,2017-11-21 23:50:00,Will I last an hour? E.Y.E: Divine Cybermancy,2263,3253,2017-11-22 01:26:00
414,3.5,59,2017-11-19 23:01:00,The end of the PS3 stash BackbreakerDef Jam: IconStarhawkUnknownVenetica,2883,6465,2017-11-20 02:31:00
415,5.1,131,2017-11-18 00:00:00,Multiple Choice Murder Mystery Condemned 2: Bloodshot,3804,10459,2017-11-18 05:06:00
